z		B
-1.000000e+02 2.409358e+02
-9.000000e+01 2.409546e+02
-8.000000e+01 2.408160e+02
-7.000000e+01 2.406569e+02
-6.000000e+01 2.404772e+02
-5.000000e+01 2.402771e+02
-4.000000e+01 2.400567e+02
-3.000000e+01 2.398159e+02
-2.000000e+01 2.395551e+02
-1.000000e+01 2.392741e+02
0.000000e+00 2.389732e+02
1.000000e+01 2.386525e+02
2.000000e+01 2.383121e+02
3.500000e+01 2.377648e+02
5.000000e+01 2.371739e+02
7.500000e+01 2.360938e+02
1.000000e+02 2.348969e+02
1.250000e+02 2.335859e+02
1.500000e+02 2.321639e+02
1.750000e+02 2.306345e+02
2.000000e+02 2.290010e+02
2.500000e+02 2.254371e+02
3.000000e+02 2.215041e+02
3.500000e+02 2.172358e+02
4.000000e+02 2.126678e+02
4.500000e+02 2.078364e+02
4.900000e+02 2.038062e+02
5.250000e+02 2.001755e+02
5.600000e+02 1.964603e+02
6.150000e+02 1.904808e+02
6.600000e+02 1.854875e+02
7.000000e+02 1.809937e+02
7.500000e+02 1.753282e+02
8.000000e+02 1.696364e+02
8.540000e+02 1.634908e+02
9.000000e+02 1.582796e+02
9.460000e+02 1.531089e+02
9.710000e+02 1.503213e+02
1.003000e+03 1.467809e+02
1.032000e+03 1.436029e+02
1.065000e+03 1.400258e+02
1.101000e+03 1.361755e+02
1.143000e+03 1.317585e+02
1.214000e+03 1.244919e+02
1.299000e+03 1.161534e+02
1.398000e+03 1.069738e+02
1.520000e+03 9.648398e+01
1.617000e+03 8.879833e+01
1.722000e+03 8.112156e+01
1.820000e+03 7.453893e+01
1.894000e+03 6.992481e+01
1.946000e+03 6.685819e+01
1.989000e+03 6.442801e+01
2.024000e+03 6.251849e+01
2.055000e+03 6.087726e+01
2.083000e+03 5.943433e+01
2.098000e+03 5.867646e+01
2.110000e+03 5.807766e+01
2.120000e+03 5.758369e+01
2.126000e+03 5.728949e+01
2.130000e+03 5.709427e+01
2.132000e+03 5.699692e+01
2.134000e+03 5.689976e+01
2.136000e+03 5.680278e+01
2.138000e+03 5.670597e+01
2.141930e+03 5.651627e+01
2.145160e+03 5.636088e+01
2.147050e+03 5.627017e+01
2.148650e+03 5.619350e+01
2.150120e+03 5.612316e+01
2.151160e+03 5.607345e+01
2.152030e+03 5.603191e+01
2.152870e+03 5.599183e+01
2.153480e+03 5.596274e+01
2.154070e+03 5.593463e+01
2.154730e+03 5.590319e+01
2.155500e+03 5.586654e+01
2.156160e+03 5.583515e+01
2.156820e+03 5.580378e+01
2.157570e+03 5.576815e+01
2.158210e+03 5.573776e+01
2.158840e+03 5.570787e+01
2.159420e+03 5.568037e+01
2.160010e+03 5.565241e+01
2.160630e+03 5.562304e+01
2.161260e+03 5.559322e+01
2.162290e+03 5.554449e+01
2.163290e+03 5.549723e+01
2.164560e+03 5.543728e+01
2.166030e+03 5.536797e+01
2.167690e+03 5.528982e+01
2.169990e+03 5.518173e+01
2.172320e+03 5.507247e+01
2.175280e+03 5.493401e+01
2.178740e+03 5.477264e+01
2.182440e+03 5.460065e+01
2.186080e+03 5.443203e+01
2.191460e+03 5.418384e+01
2.196520e+03 5.395155e+01
2.201920e+03 5.370485e+01
2.207660e+03 5.344398e+01
2.213740e+03 5.316918e+01
2.220040e+03 5.288607e+01
2.227740e+03 5.254230e+01
2.235290e+03 5.220763e+01
2.243320e+03 5.185425e+01
2.251640e+03 5.149090e+01
2.259430e+03 5.115326e+01
2.269690e+03 5.071230e+01
2.282380e+03 5.017273e+01
2.294370e+03 4.966879e+01
2.308550e+03 4.908008e+01
2.325780e+03 4.837521e+01
2.346100e+03 4.755848e+01
2.378190e+03 4.630006e+01
2.418660e+03 4.476631e+01
2.457900e+03 4.333405e+01
2.495560e+03 4.200844e+01
2.535470e+03 4.065413e+01
2.578230e+03 3.925860e+01
2.628320e+03 3.769386e+01
2.688100e+03 3.592054e+01
2.761490e+03 3.387545e+01
2.844400e+03 3.172810e+01
2.970760e+03 2.875846e+01
3.133790e+03 2.540494e+01
3.424990e+03 2.052069e+01
3.752710e+03 1.633392e+01
4.295860e+03 1.149544e+01
4.968640e+03 7.759800e+00
5.762830e+03 5.136533e+00
7.360820e+03 2.553005e+00
8.974240e+03 1.434327e+00
1.159620e+04 6.751156e-01
1.539200e+04 2.919317e-01
2.113310e+04 1.137445e-01
2.667660e+04 5.680358e-02
3.607950e+04 2.306126e-02
4.700930e+04 1.045569e-02
6.808440e+04 3.451619e-03
