61	2.13000E+03 	6.768E+03	1.106E-01	4.612E+10	8.247E+00	8.247E+00
62	2.13200E+03 	6.800E+03	1.100E-01	4.565E+10	8.279E+00	8.279E+00
63	2.13400E+03 	6.870E+03	1.094E-01	4.493E+10	8.328E+00	8.328E+00
64	2.13600E+03 	6.992E+03	1.088E-01	4.388E+10	8.401E+00	8.401E+00
65	2.13800E+03 	7.248E+03	1.083E-01	4.204E+10	8.535E+00	8.535E+00
66	2.14193E+03 	7.950E+03	1.073E-01	3.784E+10	8.868E+00	8.868E+00
67	2.14516E+03 	9.115E+03	1.065E-01	3.187E+10	9.422E+00	9.422E+00
68	2.14705E+03 	1.098E+04	1.062E-01	2.469E+10	1.027E+01	1.027E+01
69	2.14865E+03 	1.320E+04	1.060E-01	2.009E+10	1.098E+01	1.098E+01
70	2.15012E+03 	1.576E+04	1.058E-01	1.663E+10	1.192E+01	1.192E+01
71	2.15116E+03 	1.814E+04	1.057E-01	1.437E+10	1.272E+01	1.272E+01
72	2.15203E+03 	2.051E+04	1.056E-01	1.269E+10	1.346E+01	1.346E+01
73	2.15287E+03 	2.310E+04	1.055E-01	1.125E+10	1.422E+01	1.422E+01
74	2.15348E+03 	2.512E+04	1.055E-01	1.033E+10	1.478E+01	1.478E+01
75	2.15407E+03 	2.713E+04	1.055E-01	9.547E+09	1.533E+01	1.533E+01
76	2.15473E+03	2.950E+04	1.054E-01	8.757E+09	1.598E+01	1.598E+01
77	2.15550E+03	3.226E+04	1.054E-01	7.985E+09	1.670E+01	1.670E+01
78	2.15616E+03	3.458E+04	1.053E-01	7.433E+09	1.729E+01	1.729E+01
79	2.15682E+03	3.687E+04	1.053E-01	6.958E+09	1.785E+01	1.785E+01
80	2.15757E+03	3.940E+04	1.053E-01	6.508E+09	1.840E+01	1.840E+01
81	2.15821E+03	4.145E+04	1.053E-01	6.185E+09	1.882E+01	1.882E+01
82	2.15884E+03	4.340E+04	1.052E-01	5.908E+09	1.919E+01	1.919E+01
83	2.15942E+03	4.514E+04	1.052E-01	5.683E+09	1.951E+01	1.951E+01
84	2.16001E+03	4.680E+04	1.052E-01	5.484E+09	1.980E+01	1.980E+01
85	2.16063E+03	4.849E+04	1.052E-01	5.297E+09	2.009E+01	2.009E+01
86	2.16126E+03	5.014E+04	1.051E-01	5.127E+09	2.036E+01	2.036E+01
87	2.16229E+03	5.269E+04	1.051E-01	4.885E+09	2.075E+01	2.075E+01
88	2.16329E+03	5.502E+04	1.051E-01	4.684E+09	2.110E+01	2.110E+01
89	2.16456E+03	5.779E+04	1.050E-01	4.468E+09	2.149E+01	2.149E+01
90	2.16603E+03	6.079E+04	1.050E-01	4.255E+09	2.189E+01	2.189E+01
91	2.16769E+03	6.395E+04	1.050E-01	4.054E+09	2.229E+01	2.229E+01
92	2.16999E+03	6.800E+04	1.049E-01	3.822E+09	2.277E+01	2.277E+01
93	2.17232E+03	7.181E+04	1.048E-01	3.628E+09	2.319E+01	2.319E+01
94	2.17528E+03	7.633E+04	1.048E-01	3.422E+09	2.366E+01	2.366E+01
95	2.17874E+03	8.122E+04	1.047E-01	3.225E+09	2.414E+01	2.414E+01
96	2.18244E+03	8.612E+04	1.046E-01	3.049E+09	2.459E+01	2.459E+01 
97	2.18608E+03	9.064E+04	1.046E-01	2.904E+09	2.498E+01	2.498E+01
98	2.19146E+03	9.686E+04	1.045E-01	2.727E+09	2.549E+01	2.549E+01
99	2.19652E+03	1.023E+05	1.044E-01	2.589E+09	2.591E+01	2.591E+01
100	2.20192E+03	1.078E+05	1.043E-01	2.465E+09	2.631E+01	2.631E+01
101	2.20766E+03	1.132E+05	1.042E-01	2.353E+09	2.669E+01	2.669E+01
102	2.21374E+03	1.187E+05	1.041E-01	2.251E+09	2.704E+01	2.704E+01
103	2.22004E+03	1.240E+05	1.040E-01	2.160E+09	2.738E+01	2.738E+01
104	2.22774E+03	1.302E+05	1.039E-01	2.064E+09	2.774E+01	2.774E+01
105	2.23529E+03	1.358E+05	1.038E-01	1.982E+09	2.808E+01	2.808E+01
106	2.24332E+03	1.416E+05	1.037E-01	1.905E+09	2.842E+01	2.842E+01
107	2.25164E+03	1.472E+05	1.036E-01	1.836E+09	2.874E+01	2.874E+01
108	2.25943E+03	1.523E+05	1.035E-01	1.778E+09	2.902E+01	2.902E+01
109	2.26969E+03	1.586E+05	1.034E-01	1.710E+09	2.936E+01	2.936E+01
110	2.28238E+03	1.660E+05	1.033E-01	1.637E+09	2.973E+01	2.973E+01
111	2.29437E+03	1.726E+05	1.032E-01	1.576E+09	3.006E+01	3.006E+01
112	2.30855E+03	1.801E+05	1.030E-01	1.513E+09	3.041E+01	3.041E+01
113	2.32578E+03	1.886E+05	1.029E-01	1.447E+09	3.080E+01	3.080E+01
114	2.34610E+03	1.981E+05	1.027E-01	1.380E+09	3.121E+01	3.121E+01
115	2.37819E+03	2.120E+05	1.024E-01	1.293E+09	3.177E+01	3.177E+01
116	2.41866E+03	2.278E+05	1.021E-01	1.205E+09	3.238E+01	3.238E+01
117	2.45790E+03	2.419E+05	1.018E-01	1.137E+09	3.289E+01	3.289E+01
118	2.49556E+03	2.544E+05	1.015E-01	1.082E+09	3.332E+01	3.332E+01
119	2.53547E+03	2.667E+05	1.012E-01	1.032E+09	3.372E+01	3.372E+01
120	2.57823E+03	2.790E+05	1.010E-01	9.876E+08	3.400E+01	3.400E+01
121	2.62832E+03	2.925E+05	1.006E-01	9.451E+08	3.400E+01	3.400E+01
122	2.68810E+03	3.073E+05	1.003E-01	9.018E+08	3.400E+01	3.400E+01
123	2.76149E+03	3.240E+05	9.988E-02	8.571E+08	3.400E+01	3.400E+01
124	2.84440E+03	3.413E+05	9.943E-02	8.149E+08	3.400E+01	3.400E+01
125	2.97076E+03	3.650E+05	9.879E-02	7.625E+08	3.400E+01	3.400E+01
126	3.13379E+03	3.920E+05	9.803E-02	7.096E+08	3.400E+01	3.400E+01
127 	3.42499E+03	4.329E+05	9.677E-02	6.403E+08	3.400E+01	3.400E+01
128	3.75271E+03	4.716E+05	9.548E-02	5.842E+08	3.400E+01	3.400E+01
129	4.29586E+03	5.243E+05	9.356E-02	5.193E+08	3.400E+01	3.400E+01
130	4.96864E+03	5.774E+05	9.145E-02	4.641E+08	3.400E+01	3.400E+01
131	5.76283E+03	6.293E+05	8.920E-02	4.177E+08	3.400E+01	3.400E+01
132	7.36082E+03	7.117E+05	8.526E-02	3.556E+08	3.400E+01	3.400E+01
133	8.97424E+03	7.783E+05	8.180E-02	3.135E+08	3.400E+01	3.400E+01
134	1.15962E+04	8.650E+05	7.694E-02	2.667E+08	3.400E+01	3.400E+01
135	1.53920E+04	9.637E+05	7.102E-02	2.221E+08	3.400E+01	3.400E+01
136	2.11331E+04	1.080E+06	6.369E-02	1.786E+08	3.400E+01	3.400E+01
137	2.66766E+04	1.170E+06	5.787E-02	1.502E+08	3.400E+01	3.400E+01
138	3.60795E+04	1.294E+06	4.986E-02	1.174E+08	3.400E+01	3.400E+01
139	4.70093E+04	1.410E+06	4.256E-02	9.217E+07	3.400E+01	3.400E+01
140	6.80844E+04	1.586E+06	3.227E-02	6.233E+07	3.400E+01	3.400E+01
